BuildingCode,Longitude,Latitude
2403000610,125.5562631,10.3265293
2403000611,125.5562762,10.3265224
2403000612,125.5562756,10.3265255
2403000613,125.5562724,10.3265019
2403000614,125.5562743,10.3265107
2403000615,125.5563007,10.3264501
2403000617,125.5563442,10.3264695
2403000618,125.5564954,10.3262453
2403000619,125.556445,10.326273
2403000620,125.5565579,10.3260385
2403000621,125.5566108,10.3259309
2403000622,125.5563812,10.3281179
2403000623,125.5566081,10.3259137
2403000624,125.5560814,10.32609293
2403000626,125.5566176,10.3259366
2403000627,125.5565375,10.3260861
2403000628,125.5565197,10.3261461
2403000629,125.5564728,10.326251
2403000630,125.5563084,10.3266955
2403000686,125.5593153,10.3208761
2403000687,125.5594185,10.3208271
2403000688,125.5593972,10.3206627
2403000689,125.5593418,10.3208703
2403000690,125.5596223,10.3207415
2403000691,125.5580913,10.3231552
2403000692,125.5590979,10.3216374
2403000693,125.5593973,10.3205641
2403000694,125.5593733,10.3204527
2403000695,125.5580913,10.3231552
2403000696,125.559459,10.3200199
2403000697,125.5594779,10.3207295
2403000698,125.5596159,10.3208201
2403000699,125.5596008,10.320838
2403000700,125.5593852,10.3206463
2403000701,125.5593159,10.3208736
2403000702,125.5593215,10.320875
2403000705,125.5595755,10.3206397
2403000706,125.5596929,10.3207162
2403000707,125.5596929,10.3207162
2403000708,125.559454,10.3203888
2403000709,125.5594629,10.3205423
2403000710,125.5594682,10.3205421
2403000711,125.5594646,10.3205415
2403000712,125.5580913,10.3231552
2403000713,125.5580913,10.3231552
2403000714,125.5580913,10.3231552
2403000715,125.5580913,10.3231552
2403000716,125.5580913,10.3231552
2403000717,125.5580913,10.3231552
2403000718,125.5580913,10.3231552
2403000719,125.5580913,10.3231552
2403000720,125.5594571,10.3205362
2403000721,125.5596924,10.3206961
2403000722,125.5594662,10.3204863
2403000723,125.559221,10.3203102
2403000724,125.5594251,10.3204162
2403000725,125.5594668,10.3205234
2403000726,125.5594677,10.3205421
2403000727,125.559413,10.3205126
2403000728,125.5594613,10.3205323
2403000729,125.5594064,10.3205273
2403000730,125.5594553,10.3205354
2403000732,125.5594699,10.3205363
2403000733,125.5593464,10.320484
2403000735,125.5598152,10.3207706
2403000736,125.5594281,10.3205329
2403000737,125.5580913,10.3231552
2403000738,125.559107,10.3204034
2403000739,125.5591079,10.3204081
2403000742,125.5592293,10.3203175
2403000743,125.5593003,10.3203454
