BuildingCode,Hazard,HazardRisk
2401000182,Soil Erosion,Moderate Erosion
2401000184,Soil Erosion,Moderate Erosion
2401000186,Soil Erosion,Moderate Erosion
2401000190,Soil Erosion,Moderate Erosion
2401000192,Soil Erosion,Moderate Erosion
2401000194,Soil Erosion,Moderate Erosion
2401000196,Soil Erosion,Moderate Erosion
2401000198,Soil Erosion,Moderate Erosion
2401000200,Soil Erosion,Moderate Erosion
2401000202,Soil Erosion,Moderate Erosion
2401000204,Soil Erosion,Moderate Erosion
2401000206,Soil Erosion,Moderate Erosion
2401000208,Soil Erosion,Moderate Erosion
2401000210,Soil Erosion,Moderate Erosion
2401000213,Soil Erosion,Moderate Erosion
2401000215,Soil Erosion,Moderate Erosion
2401000217,Soil Erosion,Moderate Erosion
2401000219,Soil Erosion,Moderate Erosion
2401000222,Soil Erosion,Moderate Erosion
2401000224,Soil Erosion,Moderate Erosion
2401000230,Soil Erosion,Moderate Erosion
2401000232,Soil Erosion,Moderate Erosion
2401000238,Soil Erosion,Moderate Erosion
2401000241,Soil Erosion,Moderate Erosion
2401000243,Soil Erosion,Moderate Erosion
2401000247,Soil Erosion,Moderate Erosion
2401000250,Soil Erosion,Moderate Erosion
2401000252,Soil Erosion,Moderate Erosion
2401000254,Soil Erosion,Moderate Erosion
2402000021,Soil Erosion,Slight Erosion
